bench,config,seed,W,H,cw,place_time_s,sys_place_core_s,sys_sta_s,route_wall_s,routed_ok,wl,cpd_ns,fmax_mhz,error
rendering_zculling_bot,full,2,35,35,68,0.0097,0.0077,0.0014,1.115541934967041,True,36532,5.67471,176.22,
rendering_zculling_bot,full,3,35,35,68,0.0094,0.0074,0.0015,1.1153614521026611,True,35158,5.73346,174.415,
rendering_zculling_bot,full,4,35,35,68,0.0098,0.0078,0.0015,1.1656372547149658,True,37662,5.49425,182.008,
rendering_zculling_bot,full,5,35,35,68,0.0097,0.0077,0.0015,1.1655774116516113,True,36344,5.75338,173.811,
rendering_zculling_bot,full,6,35,35,68,0.0099,0.0078,0.0016,1.1658985614776611,True,35196,5.74739,173.992,
rendering_zculling_bot,full,7,35,35,68,0.0094,0.0074,0.0016,1.1154539585113525,True,35480,5.93127,168.598,
rendering_zculling_bot,full,8,35,35,68,0.01,0.0079,0.0016,1.1153697967529297,True,35355,5.92573,168.756,
rendering_zculling_bot,full,9,35,35,68,0.0101,0.008,0.0016,1.115347146987915,True,35630,5.63585,177.435,
rendering_zculling_bot,vtr_bb,0,35,35,68,0.54,,,1.1157617568969727,True,34021,6.20675,161.115,
rendering_zculling_bot,vtr_bb,1,35,35,68,0.56,,,1.115807056427002,True,35082,6.84395,146.115,
rendering_zculling_bot,vtr_bb,2,35,35,68,0.53,,,1.065657138824463,True,34098,6.04792,165.346,
rendering_zculling_bot,vtr_bb,3,35,35,68,0.51,,,1.1158385276794434,True,33868,6.18791,161.605,
rendering_zculling_bot,vtr_bb,4,35,35,68,0.55,,,1.0655136108398438,True,33886,6.16173,162.292,
rendering_zculling_bot,vtr_bb,5,35,35,68,0.54,,,1.115795612335205,True,35326,6.42316,155.687,
rendering_zculling_bot,vtr_bb,6,35,35,68,0.54,,,1.1658306121826172,True,33633,6.19982,161.295,
rendering_zculling_bot,vtr_bb,7,35,35,68,0.55,,,1.1158392429351807,True,33097,6.04624,165.392,
rendering_zculling_bot,vtr_bb,8,35,35,68,0.55,,,1.115767478942871,True,34132,6.0853,164.33,
rendering_zculling_bot,vtr_bb,9,35,35,68,0.55,,,1.0656402111053467,True,34523,6.01138,166.351,
sha,full,0,35,35,54,0.0075,0.0059,0.0013,0.8653302192687988,True,15996,13.9245,71.8161,
sha,full,1,35,35,54,0.0078,0.0062,0.0013,0.7148644924163818,True,15801,13.5709,73.6871,
sha,full,2,35,35,54,0.0068,0.0052,0.0013,0.7149734497070312,True,15949,14.0904,70.9702,
sha,full,3,35,35,54,0.007,0.0054,0.0013,0.7148406505584717,True,16392,13.79,72.5161,
sha,full,4,35,35,54,0.0074,0.0058,0.0013,0.7147934436798096,True,16033,13.8364,72.273,
sha,full,5,35,35,54,0.007,0.0054,0.0013,0.7150146961212158,True,16269,14.2099,70.3734,
sha,full,6,35,35,54,0.0072,0.0057,0.0012,0.7149529457092285,True,15783,14.0473,71.1882,
sha,full,7,35,35,54,0.0073,0.0057,0.0013,0.7147936820983887,True,15915,14.1423,70.7097,
sha,full,8,35,35,54,0.0076,0.006,0.0013,0.7147846221923828,True,16036,13.9234,71.8218,
