bench,config,seed,W,H,cw,threads,place_time_s,sys_place_core_s,sys_sta_s,route_wall_s,routed_ok,wl,cpd_ns,fmax_mhz,error
or1200,soph,0,35,35,86,1,0.0535,0.0089,0.0431,1.4662950038909912,True,49732,14.5771,68.6009,
or1200,soph,1,35,35,86,1,0.0634,0.0108,0.051,1.165489912033081,True,50029,14.7071,67.9945,
or1200,soph,2,35,35,86,1,0.0638,0.0109,0.0514,1.166022539138794,True,49766,14.7026,68.015,
or1200,soph,3,35,35,86,1,0.026,0.0044,0.0206,1.215928077697754,True,53566,15.7,63.6941,
or1200,soph,4,35,35,86,1,0.0635,0.0108,0.0511,1.1655192375183105,True,49762,14.7281,67.8975,
or1200,soph,5,35,35,86,1,0.0659,0.0109,0.0535,1.2163171768188477,True,49426,14.7115,67.9741,
or1200,soph,6,35,35,86,1,0.0629,0.011,0.0504,1.2158243656158447,True,50401,14.8526,67.3285,
or1200,soph,7,35,35,86,1,0.0658,0.011,0.0532,1.1656873226165771,True,49313,14.7203,67.9332,
or1200,soph,8,35,35,86,1,0.0622,0.0108,0.0498,1.2156732082366943,True,49906,14.415,69.3723,
or1200,soph,9,35,35,86,1,0.0631,0.0108,0.0508,1.1655349731445312,True,49731,14.4194,69.351,
or1200,vtr,0,35,35,86,12,3.5,,,1.1658151149749756,True,48518,14.5826,68.5749,
or1200,vtr,1,35,35,86,12,3.49,,,1.2161321640014648,True,48919,15.0191,66.582,
or1200,vtr,2,35,35,86,12,3.62,,,1.1663110256195068,True,49003,14.4382,69.2606,
or1200,vtr,3,35,35,86,12,3.7,,,1.1659057140350342,True,49470,14.5782,68.5957,
or1200,vtr,4,35,35,86,12,3.54,,,1.216308355331421,True,48843,14.4316,69.2925,
or1200,vtr,5,35,35,86,12,3.5,,,1.165844440460205,True,48532,14.7159,67.9536,
or1200,vtr,6,35,35,86,12,3.48,,,1.216027021408081,True,49296,14.7093,67.9843,
or1200,vtr,7,35,35,86,12,3.44,,,1.1658070087432861,True,48369,15.0047,66.6458,
or1200,vtr,8,35,35,86,12,3.48,,,1.2160398960113525,True,49142,14.4515,69.197,
or1200,vtr,9,35,35,86,12,3.75,,,1.2167870998382568,True,48873,14.5594,68.6844,
raygentop,soph,0,35,35,60,1,0.0233,0.0058,0.0168,1.0152583122253418,True,27116,5.30797,188.396,
raygentop,soph,1,35,35,60,1,0.0033,0.0006,0.0023,0.865164041519165,True,36164,6.79669,147.131,
raygentop,soph,2,35,35,60,1,0.0209,0.0052,0.0151,0.8154516220092773,True,26702,5.44571,183.631,
raygentop,soph,3,35,35,60,1,0.0185,0.0047,0.0132,0.8150911331176758,True,27044,5.38716,185.627,
raygentop,soph,4,35,35,60,1,0.0033,0.0006,0.0023,0.865351676940918,True,36649,7.67074,130.366,
raygentop,soph,5,35,35,60,1,0.0033,0.0006,0.0023,0.8151118755340576,True,36399,6.92503,144.404,
raygentop,soph,6,35,35,60,1,0.0246,0.0064,0.0175,0.8153157234191895,True,26525,5.45678,183.258,
raygentop,soph,7,35,35,60,1,0.0202,0.0052,0.0144,0.8151297569274902,True,27234,5.44461,183.668,
raygentop,soph,8,35,35,60,1,0.0213,0.0052,0.0155,0.8160450458526611,True,26664,5.46904,182.847,
raygentop,soph,9,35,35,60,1,0.0203,0.0051,0.0146,0.8149805068969727,True,26640,5.27422,189.601,
raygentop,vtr,0,35,35,60,12,1.53,,,0.8154058456420898,True,25737,5.45125,183.444,
raygentop,vtr,1,35,35,60,12,1.48,,,0.8152167797088623,True,26128,5.48065,182.46,
raygentop,vtr,2,35,35,60,12,1.57,,,0.8152837753295898,True,25995,5.25495,190.297,
raygentop,vtr,3,35,35,60,12,1.58,,,0.8152992725372314,True,26153,5.29193,188.967,
raygentop,vtr,4,35,35,60,12,1.58,,,0.8151743412017822,True,26229,5.38219,185.798,
raygentop,vtr,5,35,35,60,12,1.61,,,0.8161513805389404,True,26549,5.26823,189.817,
